insee_com,Année,nb_deces
01237,2021,9
01237,2022,11
01237,2023,6
01238,2018,13
01238,2019,12
01238,2020,13
01238,2021,7
01238,2022,10
01238,2023,18
01239,2018,4
01239,2019,6
01239,2020,6
01239,2021,5
01239,2022,3
01239,2023,2
01240,2018,8
01240,2019,3
01240,2020,6
01240,2021,3
01240,2022,3
01240,2023,3
01241,2018,4
01241,2019,11
01241,2020,6
01241,2021,8
01241,2022,12
01241,2023,16
01242,2020,1
01242,2021,1
01242,2023,2
01243,2018,8
01243,2019,4
01243,2020,7
01243,2021,6
01243,2022,9
01243,2023,8
01244,2018,66
01244,2019,57
01244,2020,76
01244,2021,83
01244,2022,56
01244,2023,87
01245,2018,6
01245,2019,9
01245,2020,8
01245,2021,4
01245,2022,2
01245,2023,2
01246,2018,10
01246,2019,15
01246,2020,16
01246,2021,15
01246,2022,17
01246,2023,16
01247,2018,1
01247,2019,2
01247,2020,4
01247,2021,2
01247,2022,4
01247,2023,2
01248,2018,6
01248,2019,8
01248,2020,10
01248,2021,8
01248,2022,8
01248,2023,12
01249,2018,72
01249,2019,73
01249,2020,89
01249,2021,93
01249,2022,80
01249,2023,78
01250,2018,4
01250,2019,8
01250,2020,8
01250,2021,14
01250,2022,10
01250,2023,8
01252,2018,5
01252,2019,6
01252,2020,5
01252,2021,5
01252,2022,5
01252,2023,8
01254,2018,8
01254,2019,7
01254,2020,10
01254,2021,8
01254,2022,11
01254,2023,10
01255,2018,7
01255,2019,1
01255,2020,2
01255,2021,6
01255,2022,6
01255,2023,3
01257,2018,4
01257,2019,2
01257,2020,4
01257,2021,3
01257,2022,3
01258,2018,5
01258,2019,5
01258,2020,8
01258,2021,3
01258,2022,2
01258,2023,6
01259,2018,2
01259,2019,3
01259,2020,1
01259,2021,3
01259,2022,7
01259,2023,4
01260,2018,2
01260,2019,2
01260,2021,1
01260,2022,2
01261,2018,4
01261,2019,1
01261,2020,2
01261,2021,8
01261,2022,4
01261,2023,1
01262,2018,62
01262,2019,56
01262,2020,80
01262,2021,62
01262,2022,75
01262,2023,57
01263,2018,42
01263,2019,30
01263,2020,47
01263,2021,44
01263,2022,44
01263,2023,36
01264,2018,5
01264,2019,6
01264,2020,12
01264,2021,11
01264,2022,12
01264,2023,4
01265,2018,27
01265,2019,24
01265,2020,28
01265,2021,20
01265,2022,21
01265,2023,31
01266,2018,53
01266,2019,43
01266,2020,49
01266,2021,53
01266,2022,53
01266,2023,48
01267,2018,5
01267,2019,7
01267,2020,9
01267,2021,4
01267,2022,8
01267,2023,6
01268,2018,1
01268,2019,2
01268,2020,4
01268,2021,4
01268,2022,2
01268,2023,2
01269,2018,62
01269,2019,59
01269,2020,66
01269,2021,92
01269,2022,44
01269,2023,56
01272,2018,15
01272,2019,22
01272,2020,26
01272,2021,12
01272,2022,18
01272,2023,19
01273,2018,13
01273,2019,10
01273,2020,8
01273,2021,9
01273,2022,11
01273,2023,12
01274,2018,6
01274,2019,5
01274,2020,2
01274,2021,8
01274,2022,7
01274,2023,6
01275,2018,14
01275,2019,15
01275,2020,12
01275,2021,11
01275,2022,7
01275,2023,11
01276,2018,5
01276,2019,6
01276,2020,10
01276,2021,11
01276,2022,3
01276,2023,5
01277,2018,2
01277,2019,3
01277,2021,3
01277,2022,1
01277,2023,5
01279,2019,1
01279,2022,1
01279,2023,2
01280,2018,2
01280,2020,4
01280,2021,2
01280,2023,1
01281,2018,13
01281,2019,23
01281,2020,31
01281,2021,28
01281,2022,21
01281,2023,34
01282,2018,2
01282,2019,1
01282,2020,1
01282,2021,1
01282,2022,2
01283,2018,168
01283,2019,198
01283,2020,224
01283,2021,177
01283,2022,183
01283,2023,175
01284,2018,6
01284,2019,8
01284,2020,5
01284,2021,6
01284,2022,2
01284,2023,5
01285,2018,5
01285,2019,5
01285,2020,8
01285,2021,4
01285,2022,7
01285,2023,6
01286,2018,6
01286,2019,2
01286,2020,7
01286,2021,12
01286,2022,6
01286,2023,8
01288,2018,12
01288,2019,3
01288,2020,9
01288,2021,9
01288,2022,13
01288,2023,3
01289,2018,72
01289,2019,75
01289,2020,99
01289,2021,95
01289,2022,90
01289,2023,64
01290,2018,8
01290,2019,9
01290,2020,12
01290,2021,16
01290,2022,17
01290,2023,9
01291,2018,4
01291,2019,6
01291,2020,4
01291,2021,7
01291,2022,8
01291,2023,4
01293,2019,1
01293,2020,2
01293,2021,1
01293,2023,1
01294,2018,8
01294,2019,8
01294,2020,6
01294,2021,4
01294,2022,6
01294,2023,6
01295,2018,3
01295,2019,5
01295,2020,1
01295,2021,4
01295,2022,2
01295,2023,3
01296,2018,2
01296,2019,2
01296,2020,2
01296,2021,2
01296,2022,1
01296,2023,6
01297,2018,5
01297,2019,3
01297,2020,1
01297,2021,2
01297,2022,5
01297,2023,5
01298,2020,1
01298,2021,1
01298,2022,2
01298,2023,2
01299,2018,1
01299,2019,1
01299,2020,4
01299,2021,3
01299,2022,4
01299,2023,2
01301,2018,20
01301,2019,17
01301,2020,21
01301,2021,17
01301,2022,17
01301,2023,16
01302,2018,1
01302,2019,2
01302,2020,2
01302,2021,2
01302,2022,1
01302,2023,1
01303,2018,12
01303,2019,10
01303,2020,16
01303,2021,12
01303,2022,17
01303,2023,11
01304,2018,36
01304,2019,46
01304,2020,55
01304,2021,33
01304,2022,43
01304,2023,48
01305,2018,44
01305,2019,38
01305,2020,54
01305,2021,49
01305,2022,61
01305,2023,56
01306,2018,21
01306,2019,27
01306,2020,44
01306,2021,35
01306,2022,31
01306,2023,41
01307,2018,7
01307,2019,2
01307,2020,7
01307,2021,7
01307,2022,8
01307,2023,10
01308,2018,4
01308,2019,5
01308,2020,7
01308,2021,1
01308,2022,8
01308,2023,3
01309,2018,1
01309,2023,1
01310,2018,3
01310,2019,4
01310,2020,5
01310,2021,2
01310,2022,2
01310,2023,3
01311,2020,1
01311,2021,1
01311,2023,1
01313,2018,16
01313,2019,15
01313,2020,32
01313,2021,17
01313,2022,19
01313,2023,16
01314,2018,9
01314,2019,15
01314,2020,13
01314,2021,10
01314,2022,13
01314,2023,15
01317,2018,2
01317,2019,1
01317,2020,3
01317,2021,5
01317,2022,3
01317,2023,2
01318,2018,3
01318,2019,2
01318,2020,5
01318,2023,2
01319,2018,1
01319,2019,5
01319,2020,3
01319,2021,3
01319,2022,4
01319,2023,2
01320,2018,28
01320,2019,25
01320,2020,37
01320,2021,33
01320,2022,18
01320,2023,22
01321,2018,1
01321,2019,4
01321,2020,4
01321,2021,5
01321,2022,4
01321,2023,3
01322,2018,95
01322,2019,79
01322,2020,93
01322,2021,77
01322,2022,91
01322,2023,84
01323,2018,7
01323,2019,14
01323,2020,8
01323,2021,6
01323,2022,7
01323,2023,12
01325,2018,4
01325,2019,3
01325,2020,3
01325,2021,7
01325,2022,4
01325,2023,7
01328,2018,17
01328,2019,19
01328,2020,23
01328,2021,13
01328,2022,19
01328,2023,22
01329,2018,4
01329,2019,2
01329,2020,2
01329,2021,3
01329,2023,2
01330,2018,3
01330,2019,3
01330,2020,4
01330,2021,1
01330,2023,2
01331,2018,1
01331,2019,4
01331,2020,2
01331,2021,1
01331,2022,1
01331,2023,3
01332,2018,4
01332,2019,4
01332,2020,1
01332,2021,1
01332,2022,5
01332,2023,7
01333,2018,28
01333,2019,41
01333,2020,34
01333,2021,45
01333,2022,39
01333,2023,27
01334,2018,3
01334,2019,6
01334,2020,2
01334,2021,2
01334,2022,5
01334,2023,4
01335,2018,1
01335,2019,3
01335,2020,5
01335,2021,1
01335,2022,4
01335,2023,1
01336,2018,8
01336,2019,7
01336,2020,8
